bytes, wall_time ,iterations
2,0.00283855,10000
4,0.00280699,10000
8,0.00276382,10000
16,0.00285099,10000
32,0.0028432,10000
64,0.00289081,10000
128,0.00332051,10000
256,0.00407771,10000
512,0.00552321,10000
1024,0.00836858,10000
2048,0.0111998,10000
4096,0.0288485,10000
