bytes, wall_time ,iterations
2,0.00395496,10000
4,0.00380374,10000
8,0.00377675,10000
16,0.0042442,10000
32,0.0043322,10000
64,0.00467487,10000
128,0.00537932,10000
256,0.00676777,10000
512,0.00850312,10000
1024,0.0129311,10000
2048,0.015916,10000
4096,0.0420645,10000
