bytes, wall_time ,iterations
2,0.344469,10000
4,0.329582,10000
8,0.294351,10000
16,0.334502,10000
32,0.341325,10000
64,0.348488,10000
128,0.351449,10000
256,0.371932,10000
512,0.359623,10000
1024,0.348531,10000
2048,0.367437,10000
4096,0.480495,10000
